Country,Variable,Category,all_Mean,all_SE,reading_Mean,reading_SE,math_Mean,math_SE,science_Mean,science_SE
Costa Rica,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Costa Rica,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Croatia,PA02Q01,1,0.96,0.17,457,17.21,436,14.65,475,14.00
Croatia,PA02Q01,2,12.01,0.47,476,4.86,462,4.45,483,4.29
Croatia,PA02Q01,3,33.61,0.71,485,3.40,472,3.26,493,3.11
Croatia,PA02Q01,4,27.81,0.83,494,4.38,482,4.68,500,4.39
Croatia,PA02Q01,5,21.18,0.81,495,4.76,480,5.99,500,4.89
Croatia,PA02Q01,m,4.44,0.31,459,7.57,452,7.08,472,6.51
Florida (USA),PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Florida (USA),PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Hong Kong-China,PA02Q01,1,0.68,0.11,506,15.55,506,19.91,513,16.84
Hong Kong-China,PA02Q01,2,4.83,0.40,504,6.71,513,7.41,514,6.39
Hong Kong-China,PA02Q01,3,18.18,0.54,531,4.92,547,5.05,545,4.85
Hong Kong-China,PA02Q01,4,30.84,1.03,554,3.05,573,4.36,565,3.19
Hong Kong-China,PA02Q01,5,32.05,0.67,556,2.94,571,3.22,563,2.80
Hong Kong-China,PA02Q01,m,13.42,0.57,538,4.41,557,4.57,549,4.12
Indonesia,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Indonesia,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Jordan,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q01,4,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q01,5,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Kazakhstan,PA02Q01,m,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q01,1,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q01,2,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
Latvia,PA02Q01,3,a  ,a  ,a  ,a  ,a  ,a  ,a  ,a  
